index,Strain,Type,Rating,Effects,Flavor,Description,Effects_tokens,Flavor_tokens,Description_tokens,General_Description
19,A-10,indica,3.8,"Relaxed,Focused,Happy,Sleepy,Uplifted","Citrus,Pungent,Sweet","A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain.","['relaxed', 'focused', 'happy', 'sleepy', 'uplifted']","['citrus', 'pungent', 'sweet']","['a-10', 'earthy,', 'hashy', 'taste', 'provides', 'heavy', 'body', 'stone.', 'frequently', 'treat', 'insomnia', 'chronic', 'pain.']","Relaxed,Focused,Happy,Sleepy,UpliftedCitrus,Pungent,SweetA-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain."
20,A-Dub,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy","Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.","['relaxed', 'happy', 'euphoric', 'uplifted', 'sleepy']","['diesel', 'pepper', 'earthy']","['coming', 'ever-popular', 'sour', 'diesel,', 'og', 'kush,', 'chemdawg', 'family', 'tree,', 'a-dub', 'solid', 'reputation', 'potency.', 'hybrid', 'produces', 'well-balanced', 'effect,', 'creating', 'euphoric,', 'happy', 'buzz', 'great', 'influence', 'expressing', 'creativity.', 'sour', 'double', '(a', 'sour', 'diesel/sour', 'bubble', 'cross)', 'alien', 'dawg', '(alien', 'technology', 'crossed', 'chemdawg)', 'combine', 'birth', 'magnificent', 'flower.']","Relaxed,Happy,Euphoric,Uplifted,SleepyDiesel,Pepper,EarthyComing from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower."
21,A-Train,hybrid,4.1,"Creative,Euphoric,Relaxed,Happy,Hungry","Earthy,Woody,Citrus",A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train.,"['creative', 'euphoric', 'relaxed', 'happy', 'hungry']","['earthy', 'woody', 'citrus']","['a-train', 'hybrid', 'mazar', 'sharif', 'clone-only', 'arcata', 'e-32', 'trainwreck.', 'hybrid', 'gives', 'classic', 'stoned', 'feeling.', 'ready', 'smiles', 'munchies', 'jump', 'a-train.']","Creative,Euphoric,Relaxed,Happy,HungryEarthy,Woody,CitrusA-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train."
22,Acdc,hybrid,4.5,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Pine,Woody","ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.","['relaxed', 'happy', 'uplifted', 'focused', 'euphoric']","['earthy', 'pine', 'woody']","['acdc', 'sativa-dominant', 'phenotype', 'high-cbd', 'cannabis', 'strain,', 'cannatonic.', 'remarkable', 'characteristic', 'acdc', 'thc:cbd', 'ratio', '1:20,', 'meaning', 'strain', 'induces', 'psychoactive', 'effects.', 'tests', 'acdc’s', 'cbd', 'content', 'high', '19%,', 'helps', 'patients', 'treat', 'pain,', 'anxiety,', 'epilepsy,', 'multiple', 'sclerosis,', 'negative', 'effects', 'chemotherapy,', 'intoxication.']","Relaxed,Happy,Uplifted,Focused,EuphoricEarthy,Pine,WoodyACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication."
23,Ak-47,hybrid,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Earthy,Pungent,Woody","Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.","['happy', 'relaxed', 'uplifted', 'euphoric', 'energetic']","['earthy', 'pungent', 'woody']","[""don't"", 'let', 'intense', 'fool', 'you:', 'ak-47', 'leave', 'relaxed', 'mellow.', 'sativa-dominant', 'hybrid', 'delivers', 'steady', 'long-lasting', 'cerebral', 'buzz', 'keeps', 'mentally', 'alert', 'engaged', 'creative', 'social', 'activities.', 'ak-47', 'mixes', 'colombian,', 'mexican,', 'thai,', 'afghani', 'varieties,', 'bringing', 'complex', 'blend', 'flavors', 'effects.', 'ak-47’s', 'scent', 'sour', 'earthy,', 'sweet', 'floral', 'notes', 'fully', 'realized', 'taste.', 'created', '1992', 'seeds,', 'ak-47', 'won', 'numerous', 'cannabis', 'cup', 'awards', 'world', 'soaring', 'thc', 'content.', 'hoping', 'fill', 'gardens', 'resinous,', 'skunky', 'hybrid,', 'growers', 'recommend', 'indoor', 'environment', 'soil', 'hydroponic', 'setups.', 'ak-47', 'easy', 'grow', 'short', 'indoor', 'flowering', 'time', '53', '63', 'days,', 'outdoor', 'plants', 'typically', 'finish', 'end', 'october.']","Happy,Relaxed,Uplifted,Euphoric,EnergeticEarthy,Pungent,WoodyDon't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October."
24,Ak-48,hybrid,4.0,"Happy,Energetic,Uplifted,Creative,Relaxed","Earthy,Pungent,Citrus","Although it is a hybrid, the AK-48 high leans more towards typical sativa effects.  AK-48's parents are Ice and Jock Horror.  Its Ice mother has ancestors of Afghani, Skunk, Northern Lights and Shiva stock.","['happy', 'energetic', 'uplifted', 'creative', 'relaxed']","['earthy', 'pungent', 'citrus']","['hybrid,', 'ak-48', 'high', 'leans', 'typical', 'sativa', 'effects.', ""ak-48's"", 'parents', 'ice', 'jock', 'horror.', 'ice', 'mother', 'ancestors', 'afghani,', 'skunk,', 'northern', 'lights', 'shiva', 'stock.']","Happy,Energetic,Uplifted,Creative,RelaxedEarthy,Pungent,CitrusAlthough it is a hybrid, the AK-48 high leans more towards typical sativa effects.  AK-48's parents are Ice and Jock Horror.  Its Ice mother has ancestors of Afghani, Skunk, Northern Lights and Shiva stock."
25,Aberdeen,hybrid,4.3,"Uplifted,Euphoric,Giggly,Energetic,Sleepy","Menthol,Blue,Cheese,Chemical","Aberdeen is a variety of Agent Orange grown by Canadian LP Aphria. Like Agent Orange, Aberdeen combines the genetics of Orange Velvet and Jack the Ripper to create a mix of sweet orange and citrus flavors. The happy, uplifting effects of Aberdeen mirror Agent Orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder.","['uplifted', 'euphoric', 'giggly', 'energetic', 'sleepy']","['menthol', 'blue', 'cheese', 'chemical']","['aberdeen', 'variety', 'agent', 'orange', 'grown', 'canadian', 'lp', 'aphria.', 'like', 'agent', 'orange,', 'aberdeen', 'combines', 'genetics', 'orange', 'velvet', 'jack', 'ripper', 'create', 'mix', 'sweet', 'orange', 'citrus', 'flavors.', 'happy,', 'uplifting', 'effects', 'aberdeen', 'mirror', 'agent', 'orange', 'regularly', 'prescribed', 'anxiety,', 'migraines,', 'gastrointestinal', 'disorder.']","Uplifted,Euphoric,Giggly,Energetic,SleepyMenthol,Blue,Cheese,ChemicalAberdeen is a variety of Agent Orange grown by Canadian LP Aphria. Like Agent Orange, Aberdeen combines the genetics of Orange Velvet and Jack the Ripper to create a mix of sweet orange and citrus flavors. The happy, uplifting effects of Aberdeen mirror Agent Orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder."
26,Abusive-Og,indica,4.5,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Earthy,Pine,Diesel","A popular Californian cut of OG Kush, Abusive OG is an indica strain that inherited the nickname of its original grower. Despite its violent name, Abusive OG will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. True to its OG genetics, Abusive OG has an earthy spice aroma with subtle lemon undertones. Patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. Abusive OG may not produce the highest yields in the garden, but makes up for it with resin-caked buds.","['relaxed', 'euphoric', 'sleepy', 'happy', 'giggly']","['earthy', 'pine', 'diesel']","['popular', 'californian', 'cut', 'og', 'kush,', 'abusive', 'og', 'indica', 'strain', 'inherited', 'nickname', 'original', 'grower.', 'despite', 'violent', 'name,', 'abusive', 'og', 'ease', 'peaceful', 'state', 'mind', 'fades', 'time', 'full-body', 'relaxation.', 'true', 'og', 'genetics,', 'abusive', 'og', 'earthy', 'spice', 'aroma', 'subtle', 'lemon', 'undertones.', 'patients', 'don’t', 'mind', 'mental', 'haziness', 'choose', 'strain', 'remedy', 'pain,', 'anxiety,', 'appetite', 'loss,', 'sleeplessness', 'end', 'day.', 'abusive', 'og', 'produce', 'highest', 'yields', 'garden,', 'makes', 'resin-caked', 'buds.']","Relaxed,Euphoric,Sleepy,Happy,GigglyEarthy,Pine,DieselA popular Californian cut of OG Kush, Abusive OG is an indica strain that inherited the nickname of its original grower. Despite its violent name, Abusive OG will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. True to its OG genetics, Abusive OG has an earthy spice aroma with subtle lemon undertones. Patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. Abusive OG may not produce the highest yields in the garden, but makes up for it with resin-caked buds."
27,Acapulco-Gold,sativa,4.5,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Earthy,Sweet,Pungent","One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors. ","['happy', 'uplifted', 'euphoric', 'energetic', 'relaxed']","['earthy', 'sweet', 'pungent']","['well-known', 'strains,', 'acapulco', 'gold', 'likened', 'dinner', 'five-star', 'restaurant.', 'strain', 'comes', 'areas', 'acapulco,', 'mexico.', 'orange', 'hairs', 'resemble', 'gold', 'nugget,', 'gold,', 'green,', 'brown', 'colors', 'resin', 'collecting', 'buds.', 'aroma', 'burnt', 'toffee', 'lingers', 'bud', 'broken', 'up.', 'acapulco', 'gold', 'reputation', 'best', 'cannabis', 'strains', 'created,', 'difficult', 'find', 'growers', 'moving', 'indoors.']","Happy,Uplifted,Euphoric,Energetic,RelaxedEarthy,Sweet,PungentOne of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors. "
28,Ace-Killer-Og,indica,4.8,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Diesel,Spicy/Herbal","Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King’s Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.","['relaxed', 'sleepy', 'euphoric', 'happy', 'uplifted']","['earthy', 'diesel', 'spicy', 'herbal']","['ace', 'killer', 'og', 'indica', 'strain', 'boasts', 'high', 'thc', 'content', 'pungent', 'diesel', 'aroma.', 'bred', 'white', 'fire', 'og,', 'king’s', 'kush,', 'kosher', 'kush,', 'mystery', 'strain,', 'ace', 'killer', 'og', 'inherits', 'heavy', 'blanket', 'snow-like', 'resin', 'hard-hitting', 'effects', 'stupefy', 'seasoned', 'veteran.']","Relaxed,Sleepy,Euphoric,Happy,UpliftedEarthy,Diesel,Spicy/HerbalAce Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King’s Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran."
29,Ace-Of-Spades,indica,4.1,"Relaxed,Euphoric,Happy,Sleepy,Hungry","Earthy,Sweet,Woody","Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.","['relaxed', 'euphoric', 'happy', 'sleepy', 'hungry']","['earthy', 'sweet', 'woody']","['ace', 'spades', 'creation', 'tga', 'subcool', 'seeds', 'takes', 'advantage', 'popular', 'sweet', 'sour', 'combination', 'goes', 'style.', 'crossbreed', 'black', 'cherry', 'soda', 'jack', 'ripper,', 'strain', 'earthy', 'berry', 'citrus', 'smell', 'carries', 'taste', 'distinctly', 'lemony', 'flavors.', 'ace', 'spades', 'plants', 'grow', 'fast', 'need', 'lot', 'space', 'bushy', 'tall.', 'flowering', 'occurs', '8', 'weeks', 'generally', 'large', 'heavy.', 'buds', 'pretty', 'look', 'range', 'colors', 'include', 'purples,', 'blues,', 'pinks', 'coated', 'orange', 'hairs.']","Relaxed,Euphoric,Happy,Sleepy,HungryEarthy,Sweet,WoodyAce of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs."
